"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Babe Ruth","- - -","10616",".513","197","","","","","","","","","","","","","","","","1011327"
"Ted Williams","Red Sox","9791",".493","188","","","","","","","","","","","","","","","","1014040"
"Lou Gehrig","Yankees","9660",".477","173","","","","","","","","","","","","","","","","1004598"
"Jimmie Foxx","- - -","9670",".460","158","","","","","","","","","","","","","","","","1004285"
"Rogers Hornsby","- - -","9475",".459","173","","","","","","","","","","","","","","","","1006030"
"Hank Greenberg","- - -","6096",".453","154","","","","","","","","","","","","","","","","1004996"
"Ty Cobb","- - -","13072",".445","165","","","","","","","","","","","","","","","","1002378"
"Joe Jackson","- - -","5690",".443","165","","","","","","","","","","","","","","","","1006301"
"Joe DiMaggio","Yankees","7671",".439","152","","","","","","","","","","","","","","","","1003311"
"Tris Speaker","- - -","11988",".436","157","","","","","","","","","","","","","","","","1012309"
"Dan Brouthers","- - -","7658",".436","156","","","","","","","","","","","","","","","","1001486"
"Stan Musial","Cardinals","12712",".435","158","","","","","","","","","","","","","","","","1009405"
"Barry Bonds","- - -","12606",".435","173","","","0","","32.9%","20.6%","46.5%","45.8%","32.7%","21.5%","11.0%","47.6%","41.4%","78.8%","90.5%","1109"
"John McGraw","- - -","4926",".433","142","","","","","","","","","","","","","","","","1008542"
"Billy Hamilton","- - -","7584",".433","142","","","","","","","","","","","","","","","","1005270"
"Johnny Mize","- - -","7371",".433","157","","","","","","","","","","","","","","","","1009014"
"Bill Joyce","- - -","4149",".430","140","","","","","","","","","","","","","","","","1006633"
"Mel Ott","Giants","11337",".430","156","","","","","","","","","","","","","","","","1009904"
"Ed Delahanty","- - -","8389",".428","144","","","","","","","","","","","","","","","","1003155"
"Charlie Keller","- - -","4604",".428","152","","","","","","","","","","","","","","","","1006768"
"Mickey Mantle","Yankees","9909",".428","170","","","","","","","","","","","","","","","","1008082"
"Ralph Kiner","- - -","6256",".427","147","","","","","","","","","","","","","","","","1006923"
"Harry Heilmann","- - -","8960",".427","144","","","","","","","","","","","","","","","","1005590"
"Lefty O'Doul","- - -","3659",".426","142","","","","","","","","","","","","","","","","1009734"
"Hack Wilson","- - -","5556",".421","143","","","","","","","","","","","","","","","","1014083"
"Ken Williams","- - -","5616",".420","134","","","","","","","","","","","","","","","","1014012"
"Mike Trout","Angels","5514",".418","172","91.3","118.0","904","45.0%","36.3%","22.5%","41.2%","37.4%","35.4%","27.2%","14.0%","46.7%","39.2%","64.9%","87.5%","10155"
"Manny Ramirez","- - -","9774",".418","153","","","0","","38.2%","23.0%","38.8%","40.2%","31.2%","28.6%","10.3%","51.0%","38.7%","66.3%","85.7%","210"
"Earl Averill","- - -","7215",".417","131","","","","","","","","","","","","","","","","1000378"
"Frank Thomas","- - -","10075",".416","154","","","0","","25.6%","19.5%","54.9%","45.3%","28.0%","26.7%","13.9%","53.4%","32.6%","72.9%","89.6%","255"
"Jake Stenzel","- - -","3412",".416","130","","","","","","","","","","","","","","","","1012485"
"Mark McGwire","- - -","7660",".415","157","","","","","","","","","","","","","","","","1008559"
"Mickey Cochrane","- - -","6206",".413","132","","","","","","","","","","","","","","","","1002384"
"Ray Grimes","- - -","1788",".412","135","","","","","","","","","","","","","","","","1005065"
"Larry Walker","- - -","8030",".412","140","","","","","48.6%","19.8%","31.6%","44.3%","30.3%","25.4%","13.2%","57.8%","29.0%","","","455"
"Jesse Burkett","- - -","9605",".411","137","","","","","","","","","","","","","","","","1001682"
"Bob Johnson","- - -","8047",".411","133","","","","","","","","","","","","","","","","1006428"
"Chuck Klein","- - -","7168",".411","133","","","","","","","","","","","","","","","","1006991"
"Al Simmons","- - -","9515",".410","130","","","","","","","","","","","","","","","","1011978"
"Babe Herman","- - -","6226",".410","139","","","","","","","","","","","","","","","","1005691"
"Gavvy Cravath","- - -","4645",".410","150","","","","","","","","","","","","","","","","1002735"
"Eddie Collins","- - -","12037",".409","144","","","","","","","","","","","","","","","","1002451"
"Sam Thompson","- - -","6502",".409","136","","","","","","","","","","","","","","","","1013024"
"Willie Mays","- - -","12493",".409","154","","","","","","","","","","","","","","","","1008315"
"Roger Connor","- - -","8837",".409","143","","","","","","","","","","","","","","","","1002537"
"Honus Wagner","- - -","11739",".408","147","","","","","","","","","","","","","","","","1013485"
"Joe Harris","- - -","3574",".407","132","","","","","","","","","","","","","","","","1005421"
"Pete Browning","- - -","5315",".407","147","","","","","","","","","","","","","","","","1001554"
"Bill Terry","Giants","7111",".407","137","","","","","","","","","","","","","","","","1012927"
"Jack Fournier","- - -","6033",".406","141","","","","","","","","","","","","","","","","1004264"
"Denny Lyons","- - -","5010",".406","134","","","","","","","","","","","","","","","","1007880"
"Jackie Robinson","Dodgers","5802",".406","135","","","","","","","","","","","","","","","","1011070"
"Jim Thome","- - -","10313",".406","145","","","0","","40.1%","20.1%","39.8%","42.7%","32.2%","25.1%","11.9%","47.5%","40.6%","48.3%","79.4%","409"
"Bill Lange","Colts","3609",".406","122","","","","","","","","","","","","","","","","1007315"
"Jeff Bagwell","Astros","9431",".405","149","","","","","39.7%","21.9%","38.4%","49.5%","26.6%","23.9%","10.7%","58.6%","30.7%","","","547"
"Edgar Martinez","Mariners","8678",".405","147","","","","","41.9%","21.9%","36.3%","37.4%","30.9%","31.7%","12.3%","61.9%","25.8%","","","1086"
"Todd Helton","Rockies","9453",".405","132","","","0","","35.6%","25.3%","39.1%","36.5%","32.9%","30.5%","12.0%","56.0%","32.0%","79.7%","89.4%","432"
"Juan Soto","Nationals","1349",".405","152","91.5","113.7","397","46.3%","47.5%","19.6%","32.9%","37.2%","36.4%","26.5%","15.7%","45.2%","39.0%","59.8%","85.3%","20123"
"Joe Kelley","- - -","8120",".405","130","","","","","","","","","","","","","","","","1006776"
"Riggs Stephenson","- - -","5134",".405","132","","","","","","","","","","","","","","","","1012500"
"Charlie Gehringer","Tigers","10237",".405","124","","","","","","","","","","","","","","","","1004596"
"George Selkirk","Yankees","3322",".404","128","","","","","","","","","","","","","","","","1011732"
"Duke Snider","- - -","8237",".404","139","","","","","","","","","","","","","","","","1012230"
"Mike Donlin","- - -","4282",".404","139","","","","","","","","","","","","","","","","1003380"
"Frank Robinson","- - -","11743",".404","153","","","","","","","","","","","","","","","","1011066"
"Dolph Camilli","- - -","6352",".403","136","","","","","","","","","","","","","","","","1001860"
"Paul Waner","- - -","10762",".403","135","","","","","","","","","","","","","","","","1013597"
"Hank Aaron","- - -","13940",".403","153","","","","","","","","","","","","","","","","1000001"
"Jeff Heath","- - -","5560",".403","137","","","","","","","","","","","","","","","","1005560"
"Goose Goslin","- - -","9822",".402","127","","","","","","","","","","","","","","","","1004893"
"Chick Hafey","- - -","5113",".402","132","","","","","","","","","","","","","","","","1005191"
"Benny Kauff","- - -","3564",".402","149","","","","","","","","","","","","","","","","1006715"
"Mike Tiernan","Giants","6716",".402","132","","","","","","","","","","","","","","","","1013062"
"Hal Trosky","- - -","5747",".402","126","","","","","","","","","","","","","","","","1013190"
"Dale Alexander","- - -","2736",".402","126","","","","","","","","","","","","","","","","1000121"
"Tommy Henrich","Yankees","5409",".401","131","","","","","","","","","","","","","","","","1005664"
"Nap Lajoie","- - -","10460",".401","144","","","","","","","","","","","","","","","","1007259"
"Lance Berkman","- - -","7814",".400","144","","","0","","42.1%","19.7%","38.2%","39.0%","33.6%","27.5%","15.7%","49.0%","35.3%","55.2%","86.3%","548"
"Joey Votto","Reds","7595",".400","150","88.7","113.2","848","37.0%","40.5%","25.6%","33.8%","35.8%","34.3%","29.9%","11.0%","51.4%","37.6%","65.4%","85.5%","4314"
"Dick Allen","- - -","7314",".400","155","","","","","","","","","","","","","","","","1000137"
"Tip O'Neill","- - -","4720",".399","134","","","","","","","","","","","","","","","","1009821"
"Roy Cullenbine","- - -","4787",".399","136","","","","","","","","","","","","","","","","1002861"
"Ike Boone","- - -","1313",".399","120","","","","","","","","","","","","","","","","1001187"
"Arky Vaughan","- - -","7721",".399","138","","","","","","","","","","","","","","","","1013377"
"Elmer Flick","- - -","6414",".399","145","","","","","","","","","","","","","","","","1004158"
"Bill Salkeld","- - -","1048",".398","133","","","","","","","","","","","","","","","","1011383"
"Dick Wakefield","- - -","2505",".398","134","","","","","","","","","","","","","","","","1013498"
"Dave Orr","- - -","3411",".397","143","","","","","","","","","","","","","","","","1009848"
"Bill Kenworthy","- - -","1113",".397","137","","","","","","","","","","","","","","","","1006854"
"Chipper Jones","Braves","10614",".397","141","","","0","","43.1%","20.6%","36.3%","39.8%","33.3%","26.9%","11.5%","55.8%","32.7%","67.9%","86.1%","97"
"Al Rosen","Indians","4374",".397","138","","","","","","","","","","","","","","","","1011208"
"Albert Belle","- - -","6676",".396","139","","","","","","","","","","","","","","","","1000802"
"Elmer Smith","- - -","5400",".396","124","","","","","","","","","","","","","","","","1012134"
"Cupid Childs","- - -","6758",".396","123","","","","","","","","","","","","","","","","1002186"
"Larry Doby","- - -","6302",".396","137","","","","","","","","","","","","","","","","1003346"
"Ray Blades","Cardinals","2846",".396","126","","","","","","","","","","","","","","","","1001023"
"Aaron Judge","Yankees","1832",".396","151","94.9","121.1","523","54.7%","38.5%","23.2%","38.4%","41.5%","31.8%","26.7%","11.4%","40.5%","48.1%","32.5%","78.9%","15640"
"Bill Dickey","Yankees","7060",".396","126","","","","","","","","","","","","","","","","1003271"
"Alex Rodriguez","- - -","12207",".395","141","90.9","116.5","230","42.1%","43.0%","17.8%","39.2%","45.4%","32.5%","22.1%","15.1%","50.6%","34.3%","58.0%","81.8%","1274"
"Mike Schmidt","Phillies","10062",".395","147","","","","","","","","","","","","","","","","1011586"
"Earle Combs","Yankees","6507",".395","127","","","","","","","","","","","","","","","","1002478"
"Zeke Bonura","- - -","4026",".394","119","","","","","","","","","","","","","","","","1001176"
"Ross Youngs","Giants","5333",".394","135","","","","","","","","","","","","","","","","1014390"
"Ed Morgan","- - -","3257",".394","120","","","","","","","","","","","","","","","","1009176"
"Phil Weintraub","- - -","1630",".394","134","","","","","","","","","","","","","","","","1013741"
"Jason Giambi","- - -","8908",".394","140","","","0","","31.9%","18.5%","49.5%","47.2%","29.1%","23.7%","15.3%","50.3%","34.4%","59.4%","85.7%","818"
"Hugh Duffy","- - -","7827",".394","118","","","","","","","","","","","","","","","","1003533"
"Wally Berger","- - -","5663",".393","136","","","","","","","","","","","","","","","","1000875"
"Joe Medwick","- - -","8142",".393","133","","","","","","","","","","","","","","","","1008719"
"Jim Bottomley","- - -","8355",".393","124","","","","","","","","","","","","","","","","1001228"
"Joe Cronin","- - -","8838",".393","120","","","","","","","","","","","","","","","","1002796"
"Miguel Cabrera","- - -","10467",".393","145","92.4","115.6","911","49.3%","41.7%","22.6%","35.7%","38.6%","32.9%","28.5%","11.3%","49.1%","39.6%","64.6%","86.8%","1744"
"George Sisler","- - -","9013",".393","123","","","","","","","","","","","","","","","","1012021"
"George Grantham","- - -","5897",".393","123","","","","","","","","","","","","","","","","1004947"
"Kiki Cuyler","- - -","8098",".393","126","","","","","","","","","","","","","","","","1002914"
"Cap Anson","- - -","11319",".393","134","","","","","","","","","","","","","","","","1000272"
"David Ortiz","- - -","10091",".392","140","93.0","113.6","438","48.7%","35.7%","20.5%","43.9%","45.4%","30.6%","24.1%","11.9%","47.6%","40.5%","62.7%","87.4%","745"
"Jimmy Bannon","- - -","1616",".392","106","","","","","","","","","","","","","","","","1000518"
"Gary Sheffield","- - -","10947",".391","141","","","0","","43.3%","17.2%","39.5%","56.7%","28.2%","15.1%","17.2%","50.5%","32.3%","73.9%","88.2%","114"
"Carlos Delgado","- - -","8657",".391","135","","","0","","38.5%","21.6%","39.9%","44.3%","30.4%","25.4%","12.3%","53.0%","34.7%","62.9%","81.9%","1297"
"Ferris Fain","- - -","4904",".390","127","","","","","","","","","","","","","","","","1003902"
"Mike Piazza","- - -","7745",".390","140","","","0","","41.6%","20.5%","37.9%","44.6%","29.5%","25.9%","14.6%","55.0%","30.4%","59.0%","84.1%","893"
"Rudy York","- - -","6720",".390","122","","","","","","","","","","","","","","","","1014354"
"Vladimir Guerrero","- - -","9059",".390","136","","","0","","44.8%","19.1%","36.1%","42.3%","33.7%","24.0%","16.0%","52.9%","31.1%","72.1%","87.8%","778"
"Earl Webb","- - -","2460",".390","123","","","","","","","","","","","","","","","","1013708"
"Fred Clarke","- - -","9819",".390","131","","","","","","","","","","","","","","","","1002280"
"Heinie Manush","- - -","8416",".389","120","","","","","","","","","","","","","","","","1008089"
"Monte Irvin","- - -","2893",".389","127","","","","","","","","","","","","","","","","1006275"
"Gabby Hartnett","- - -","7297",".389","127","","","","","","","","","","","","","","","","1005458"
"Eddie Mathews","- - -","10101",".389","143","","","","","","","","","","","","","","","","1008236"
"Joe Hauser","- - -","2367",".389","116","","","","","","","","","","","","","","","","1005502"
"Al Wingo","- - -","1575",".389","116","","","","","","","","","","","","","","","","1014131"
"Bug Holliday","Red Stockings","4036",".389","120","","","","","","","","","","","","","","","","1005957"
"Harmon Killebrew","- - -","9831",".389","142","","","","","","","","","","","","","","","","1006905"
"Cy Williams","- - -","7720",".388","123","","","","","","","","","","","","","","","","1013981"
"Hack Miller","- - -","1289",".388","119","","","","","","","","","","","","","","","","1008899"
"Ross Barnes","- - -","2506",".388","148","","","","","","","","","","","","","","","","1000573"
"Sid Gordon","- - -","5811",".388","128","","","","","","","","","","","","","","","","1004877"
"Henry Larkin","- - -","5302",".388","131","","","","","","","","","","","","","","","","1007348"
"Willie McCovey","- - -","9691",".388","145","","","","","","","","","","","","","","","","1008423"
"Brian Giles","- - -","7836",".388","136","","","0","","37.5%","21.1%","41.4%","42.5%","30.8%","26.7%","14.0%","56.8%","29.2%","85.0%","94.8%","990"
"Harlond Clift","- - -","6894",".387","114","","","","","","","","","","","","","","","","1002352"
"Willie Stargell","Pirates","9026",".387","145","","","","","","","","","","","","","","","","1012426"
"Joe Connolly","Braves","1468",".387","133","","","","","","","","","","","","","","","","1002532"
"Don Hurst","- - -","3762",".387","113","","","","","","","","","","","","","","","","1006223"
"Tony Lazzeri","- - -","7303",".387","122","","","","","","","","","","","","","","","","1007422"
"Albert Pujols","- - -","12394",".387","143","89.9","116.5","999","39.6%","41.7%","18.7%","39.6%","47.8%","32.6%","19.6%","14.7%","49.0%","36.3%","72.4%","91.2%","1177"
"Pete Reiser","- - -","3053",".387","130","","","","","","","","","","","","","","","","1010814"
"Sam Crawford","- - -","10594",".387","138","","","","","","","","","","","","","","","","1002748"
"Bill Nicholson","- - -","6418",".387","132","","","","","","","","","","","","","","","","1009554"
"Paul Goldschmidt","- - -","5621",".387","141","91.0","114.0","1009","44.2%","42.2%","22.8%","35.0%","37.2%","35.7%","27.0%","12.5%","45.7%","41.8%","64.9%","81.5%","9218"
"George Harper","- - -","3927",".387","118","","","","","","","","","","","","","","","","1005378"
"Mo Vaughn","- - -","6410",".387","129","","","","","38.8%","23.0%","38.3%","50.8%","26.8%","22.5%","10.1%","62.3%","27.6%","","","899"
"Jimmy Ryan","- - -","9106",".386","119","","","","","","","","","","","","","","","","1011341"
"Del Bissonette","Robins","2564",".386","118","","","","","","","","","","","","","","","","1000997"
"Whitey Kurowski","Cardinals","3691",".386","127","","","","","","","","","","","","","","","","1007215"
"Bob Meusel","- - -","6028",".386","117","","","","","","","","","","","","","","","","1008817"
"Roy Campanella","Dodgers","4816",".385","123","","","","","","","","","","","","","","","","1001871"
"Jim Edmonds","- - -","7980",".385","131","","","0","","34.4%","21.5%","44.1%","41.5%","31.7%","26.8%","10.4%","53.9%","35.6%","66.1%","84.2%","1153"
"Ripper Collins","- - -","4205",".385","126","","","","","","","","","","","","","","","","1002464"
"Hughie Jennings","- - -","5639",".385","119","","","","","","","","","","","","","","","","1006396"
"Frank Chance","- - -","5099",".385","137","","","","","","","","","","","","","","","","1002131"
"Ken Griffey Jr.","- - -","11304",".384","131","","","0","","37.1%","18.4%","44.5%","48.9%","28.9%","22.2%","16.0%","51.1%","32.9%","65.9%","87.8%","327"
"Enos Slaughter","- - -","9084",".384","126","","","","","","","","","","","","","","","","1012060"
"Zack Wheat","- - -","9996",".384","128","","","","","","","","","","","","","","","","1013828"
"Frank Baker","- - -","6660",".384","134","","","","","","","","","","","","","","","","1000453"
"George Van Haltren","- - -","8979",".384","119","","","","","","","","","","","","","","","","1013357"
"John Stone","- - -","5006",".384","115","","","","","","","","","","","","","","","","1012568"
"Willie Keeler","- - -","9594",".383","124","","","","","","","","","","","","","","","","1006747"
"Dixie Walker","- - -","7666",".383","122","","","","","","","","","","","","","","","","1013512"
"Mike Griffin","- - -","6832",".383","122","","","","","","","","","","","","","","","","1005047"
"Tim Salmon","Angels","7039",".383","130","","","","","33.8%","23.2%","43.0%","47.2%","27.9%","24.9%","13.4%","60.0%","26.6%","","","32"
"Les Fleming","- - -","1572",".383","132","","","","","","","","","","","","","","","","1004146"
"Frank Brower","- - -","1522",".383","116","","","","","","","","","","","","","","","","1001489"
"Matt Holliday","- - -","7981",".383","135","91.3","116.0","355","44.7%","45.8%","19.0%","35.2%","35.1%","35.2%","29.7%","14.2%","50.3%","35.5%","63.1%","86.0%","1873"
"Fred McGriff","- - -","10174",".383","134","","","","","39.3%","19.9%","40.8%","50.5%","26.8%","22.7%","13.2%","56.1%","30.7%","","","293"
"Bobby Veach","- - -","7557",".383","124","","","","","","","","","","","","","","","","1013388"
"Juan Gonzalez","- - -","7155",".383","129","","","","","36.3%","24.4%","39.4%","46.8%","29.0%","24.2%","17.0%","54.5%","28.4%","","","1251"
"Max Bishop","- - -","5776",".382","113","","","","","","","","","","","","","","","","1000994"
"Minnie Minoso","- - -","7710",".382","133","","","","","","","","","","","","","","","","1008984"
"Wally Judnich","- - -","3207",".382","118","","","","","","","","","","","","","","","","1006645"
"Ronald Acuna Jr.","Braves","1404",".382","137","90.9","115.9","411","48.1%","39.2%","21.9%","38.9%","41.7%","34.3%","24.1%","14.3%","39.8%","45.9%","58.3%","78.8%","18401"
"Bobby Estalella","- - -","2569",".382","127","","","","","","","","","","","","","","","","1003837"
"Bob Caruthers","- - -","2906",".382","130","","","","","","","","","","","","","","","","1002026"
"Augie Galan","- - -","7003",".382","125","","","","","","","","","","","","","","","","1004440"
"Norm Cash","- - -","7910",".382","139","","","","","","","","","","","","","","","","1002043"
"Oyster Burns","- - -","5143",".381","127","","","","","","","","","","","","","","","","1001716"
"Will Clark","- - -","8283",".381","136","","","","","","","","","","","","","","","","1002318"
"Alex Bregman","Astros","2418",".381","145","88.7","107.6","639","36.8%","34.2%","22.8%","43.0%","45.0%","35.5%","19.4%","16.6%","46.3%","37.2%","68.7%","91.0%","17678"
"Giancarlo Stanton","- - -","4991",".381","142","93.4","122.2","683","48.7%","42.2%","18.3%","39.5%","43.1%","35.5%","21.4%","18.1%","40.2%","41.7%","44.0%","80.9%","4949"
"Mike Grady","- - -","3420",".381","122","","","","","","","","","","","","","","","","1004917"
"Sherry Magee","- - -","8546",".381","134","","","","","","","","","","","","","","","","1007965"
"Wade Boggs","- - -","10740",".381","132","","","","","","","","","","","","","","","","1001124"
"Babe Phelps","- - -","2306",".381","126","","","","","","","","","","","","","","","","1010275"
"Kal Daniels","- - -","2739",".381","140","","","","","","","","","","","","","","","","1002973"
"Wally Schang","- - -","6423",".380","120","","","","","","","","","","","","","","","","1011521"
"Harry Stovey","- - -","6832",".380","132","","","","","","","","","","","","","","","","1012586"
"Bryce Harper","- - -","4883",".380","138","91.0","116.4","903","43.9%","41.1%","21.3%","37.6%","38.7%","35.0%","26.2%","13.7%","48.9%","37.4%","57.7%","82.4%","11579"
"David Justice","- - -","6602",".380","130","","","","","39.2%","26.6%","34.1%","45.5%","28.1%","26.3%","16.2%","59.0%","24.9%","","","923"
"Len Koenecke","- - -","1064",".380","124","","","","","","","","","","","","","","","","1007076"
"Bobby Doerr","Red Sox","8028",".380","115","","","","","","","","","","","","","","","","1003355"
"Lu Blue","- - -","7207",".380","112","","","","","","","","","","","","","","","","1001093"
"Bob Elliott","- - -","8190",".380","124","","","","","","","","","","","","","","","","1003733"
"Tuck Turner","- - -","1650",".380","106","","","","","","","","","","","","","","","","1013237"
"Bubbles Hargrave","- - -","2852",".380","120","","","","","","","","","","","","","","","","1005359"
"Kevin Mitchell","- - -","4696",".380","140","","","","","","","","","","","","","","","","1009004"
"Edd Roush","- - -","8156",".380","127","","","","","","","","","","","","","","","","1011247"
"Rafael Palmeiro","- - -","12046",".380","130","","","","","32.8%","20.9%","46.3%","53.5%","25.9%","20.6%","15.1%","57.4%","27.5%","","","1266"
"Johnny Mostil","White Sox","4096",".380","114","","","","","","","","","","","","","","","","1009255"
"Hank Sauer","- - -","5414",".380","122","","","","","","","","","","","","","","","","1011459"
"Ben Chapman","- - -","7420",".379","115","","","","","","","","","","","","","","","","1002141"
"Joe Gordon","- - -","6536",".379","121","","","","","","","","","","","","","","","","1004874"
"Tex McDonald","- - -","1137",".379","122","","","","","","","","","","","","","","","","1008468"
"Freddie Freeman","Braves","5965",".379","139","90.2","114.6","972","43.6%","36.6%","27.8%","35.6%","39.7%","33.7%","26.6%","12.0%","48.0%","40.0%","62.7%","83.0%","5361"
"Steve Evans","- - -","3893",".379","124","","","","","","","","","","","","","","","","1003870"
"Stan Spence","- - -","4446",".379","125","","","","","","","","","","","","","","","","1012328"
"Ryan Braun","Brewers","7340",".379","135","91.1","116.3","841","44.0%","46.3%","19.0%","34.7%","37.8%","35.4%","26.8%","17.0%","45.9%","37.1%","64.8%","87.5%","3410"
"Reggie Smith","- - -","8050",".379","137","","","","","","","","","","","","","","","","1012201"
"Dutch Zwilling","- - -","1443",".379","131","","","","","","","","","","","","","","","","1014467"
"Ellis Burks","- - -","8177",".379","125","","","","","48.8%","19.6%","31.6%","51.8%","28.0%","20.2%","15.5%","54.4%","30.1%","","","372"
"Danny Tartabull","- - -","5842",".379","133","","","","","","","","","","","","","","","","1012829"
"Buck Freeman","- - -","4619",".379","127","","","","","","","","","","","","","","","","1004316"
"Gil Hodges","- - -","8104",".378","121","","","","","","","","","","","","","","","","1005883"
"Bob Fothergill","- - -","3579",".378","112","","","","","","","","","","","","","","","","1004261"
"Kris Bryant","Cubs","3252",".378","136","87.9","113.0","754","37.3%","34.6%","21.7%","43.7%","44.5%","33.7%","21.8%","16.4%","48.0%","35.6%","50.8%","82.0%","15429"
"Rusty Greer","Rangers","4420",".378","120","","","","","52.5%","20.8%","26.8%","34.4%","36.1%","29.5%","16.4%","66.7%","16.9%","","","1252"
"Mookie Betts","- - -","3875",".378","136","90.3","114.7","1183","42.3%","37.2%","20.3%","42.5%","42.1%","35.1%","22.8%","15.1%","47.3%","37.6%","66.5%","93.1%","13611"
"Bob Nieman","- - -","3947",".378","130","","","","","","","","","","","","","","","","1009587"
"Al Kaline","Tigers","11597",".378","134","","","","","","","","","","","","","","","","1006678"
"Moises Alou","- - -","7913",".378","129","","","0","","39.5%","21.6%","38.9%","54.0%","27.6%","18.4%","13.0%","57.5%","29.5%","74.4%","85.7%","261"
"Luke Easter","Indians","1931",".378","123","","","","","","","","","","","","","","","","1003640"
"Bibb Falk","- - -","5264",".378","111","","","","","","","","","","","","","","","","1003911"
"Luke Appling","White Sox","10243",".378","115","","","","","","","","","","","","","","","","1000284"
"J.D. Drew","- - -","6153",".378","127","","","0","","43.8%","18.5%","37.6%","46.6%","32.2%","21.2%","14.5%","55.3%","30.2%","64.6%","87.4%","1152"
"Bobby Abreu","- - -","10081",".378","129","","","0","","46.3%","22.2%","31.5%","35.6%","34.7%","29.8%","11.1%","56.4%","32.6%","62.2%","90.2%","945"
"Johnny Bassler","- - -","2858",".378","110","","","","","","","","","","","","","","","","1000646"
"Vern Stephens","- - -","7240",".377","117","","","","","","","","","","","","","","","","1012501"
"Ted Kluszewski","- - -","6470",".377","120","","","","","","","","","","","","","","","","1007020"
"Prince Fielder","- - -","6853",".377","133","90.2","114.9","322","40.4%","41.8%","19.8%","38.4%","37.6%","37.1%","25.2%","15.4%","48.5%","36.2%","62.1%","88.0%","4613"
"Hank Thompson","- - -","3568",".377","120","","","","","","","","","","","","","","","","1013012"
"George Gore","- - -","6104",".377","131","","","","","","","","","","","","","","","","1004879"
"John Olerud","- - -","9063",".377","130","","","","","43.5%","22.1%","34.4%","35.2%","30.7%","34.1%","11.3%","62.5%","26.2%","","","1093"
"Bruce Campbell","- - -","5369",".377","108","","","","","","","","","","","","","","","","1001875"
"Joe Sewell","- - -","8329",".377","111","","","","","","","","","","","","","","","","1011766"
"Jack Clark","- - -","8230",".377","138","","","","","","","","","","","","","","","","1002288"
"Danny Taylor","- - -","2494",".377","122","","","","","","","","","","","","","","","","1012865"
"Dom DiMaggio","Red Sox","6478",".377","112","","","","","","","","","","","","","","","","1003310"
"Ernie Lombardi","- - -","6349",".376","125","","","","","","","","","","","","","","","","1007718"
"Nick Etten","- - -","3840",".376","128","","","","","","","","","","","","","","","","1003848"
"Levi Meyerle","- - -","1453",".376","139","","","","","","","","","","","","","","","","1008830"
"Kip Selbach","- - -","7089",".376","118","","","","","","","","","","","","","","","","1011731"
"Billy Williams","- - -","10519",".376","132","","","","","","","","","","","","","","","","1013975"
"Luke Voit","- - -","1029",".376","138","90.3","112.6","277","43.9%","40.3%","23.6%","36.1%","47.5%","31.9%","20.6%","12.7%","46.1%","41.2%","41.3%","79.4%","14811"
"Braggo Roth","- - -","3284",".376","123","","","","","","","","","","","","","","","","1011238"
"Ken Phelps","- - -","2288",".376","131","","","","","","","","","","","","","","","","1010277"
"Jake Beckley","- - -","10470",".376","119","","","","","","","","","","","","","","","","1000754"
"Nomar Garciaparra","- - -","6116",".376","124","","","0","","36.0%","22.0%","42.1%","44.6%","31.6%","23.8%","14.2%","58.5%","27.3%","70.0%","91.5%","190"
"Vic Wertz","- - -","7021",".376","120","","","","","","","","","","","","","","","","1013795"
"Barney McCosky","- - -","4760",".375","112","","","","","","","","","","","","","","","","1008422"
"Jeff McNeil","Mets","1024",".375","139","87.9","107.2","262","32.6%","42.2%","22.4%","35.4%","42.1%","33.3%","24.7%","14.7%","50.8%","34.5%","67.3%","89.3%","15362"
"Josh Donaldson","- - -","4578",".375","139","92.1","115.5","884","47.6%","43.0%","18.5%","38.5%","43.4%","33.0%","23.6%","15.4%","47.8%","36.8%","56.8%","82.0%","5038"
"Cody Bellinger","Dodgers","2083",".375","137","90.4","112.9","588","42.9%","35.7%","21.6%","42.6%","45.5%","33.0%","21.5%","15.2%","41.2%","43.6%","59.1%","79.3%","15998"
"Curt Walker","- - -","5572",".375","111","","","","","","","","","","","","","","","","1013510"
"Kevin Youkilis","- - -","4436",".375","127","","","0","","35.9%","21.3%","42.8%","45.6%","32.1%","22.3%","12.8%","53.1%","34.1%","65.6%","88.9%","1935"
"Jim Rice","Red Sox","9058",".375","128","","","","","","","","","","","","","","","","1010897"
"Johnny Frederick","Robins","3364",".375","116","","","","","","","","","","","","","","","","1004311"
"Jose Canseco","- - -","8129",".375","130","","","","","","","","","","","","","","","","1001918"
"Earl Smith","- - -","2569",".375","114","","","","","","","","","","","","","","","","1012127"
"Tommy Glaviano","- - -","1246",".375","116","","","","","","","","","","","","","","","","1004761"
"Magglio Ordonez","- - -","7745",".375","126","","","0","","44.6%","20.8%","34.6%","40.4%","30.4%","29.2%","13.5%","56.8%","29.7%","72.5%","91.2%","248"
"Carl Yastrzemski","Red Sox","13991",".375","130","","","","","","","","","","","","","","","","1014326"
"Stan Hack","Cubs","8506",".375","124","","","","","","","","","","","","","","","","1005183"
"Dwight Evans","- - -","10569",".375","129","","","","","","","","","","","","","","","","1003865"
