"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Rex Hudler","- - -","1889",".313","89","","","","","","","","","","","","","","","","1006131"
"Tim Beckham","- - -","1751",".313","96","87.9","111.2","421","37.8%","47.7%","19.8%","32.5%","44.4%","33.4%","22.2%","19.1%","46.7%","34.3%","46.9%","79.3%","7949"
"Jody Davis","- - -","3984",".313","89","","","","","","","","","","","","","","","","1003060"
"Dave Engle","- - -","1784",".313","89","","","","","","","","","","","","","","","","1003781"
"Terrence Long","- - -","3325",".313","88","","","","","45.1%","21.8%","33.1%","38.4%","32.6%","29.1%","14.8%","61.9%","23.3%","","","927"
"Cito Gaston","- - -","3339",".313","94","","","","","","","","","","","","","","","","1004566"
"Kevin Orie","- - -","1146",".313","84","","","","","43.3%","23.3%","33.3%","70.0%","16.7%","13.3%","20.0%","56.7%","23.3%","","","1616"
"Jim Lefebvre","Dodgers","3417",".313","104","","","","","","","","","","","","","","","","1007473"
"Luke Sewell","- - -","6041",".313","71","","","","","","","","","","","","","","","","1011767"
"Steve Sax","- - -","7632",".313","97","","","","","","","","","","","","","","","","1011481"
"Herbie Moran","- - -","2518",".313","86","","","","","","","","","","","","","","","","1009149"
"Mike Shannon","Cardinals","3056",".313","97","","","","","","","","","","","","","","","","1011797"
"Bill Sarni","- - -","1303",".313","82","","","","","","","","","","","","","","","","1011451"
"John O'Brien","- - -","2141",".313","76","","","","","","","","","","","","","","","","1009696"
"Jarrod Saltalamacchia","- - -","3191",".313","90","89.8","111.3","113","38.7%","34.4%","22.1%","43.5%","44.4%","32.3%","23.3%","13.5%","51.2%","35.3%","49.9%","78.0%","5557"
"Mickey Brantley","Mariners","1222",".313","89","","","","","","","","","","","","","","","","1001360"
"Ellie Rodriguez","- - -","2622",".313","98","","","","","","","","","","","","","","","","1011104"
"Rabbit Maranville","- - -","11256",".313","83","","","","","","","","","","","","","","","","1008099"
"Ben Gamel","- - -","1383",".313","95","87.5","111.1","296","32.6%","44.6%","24.9%","30.5%","34.5%","35.4%","30.1%","16.4%","53.0%","30.5%","54.3%","89.1%","12160"
"Lou Johnson","- - -","2251",".313","103","","","","","","","","","","","","","","","","1006484"
"Tyler Flowers","- - -","2776",".313","93","90.7","118.5","444","42.7%","43.7%","20.5%","35.8%","42.5%","31.6%","25.8%","17.1%","46.4%","36.4%","44.7%","79.1%","9134"
"Hack Simmons","- - -","1076",".312","82","","","","","","","","","","","","","","","","1011981"
"Danny Murtaugh","- - -","2937",".312","81","","","","","","","","","","","","","","","","1009402"
"Johnny Rucker","Giants","2769",".312","83","","","","","","","","","","","","","","","","1011280"
"Chris Johnson","- - -","2995",".312","96","89.7","115.2","136","40.5%","45.0%","25.2%","29.9%","35.7%","36.7%","27.6%","15.6%","54.6%","29.8%","48.6%","86.2%","1191"
"Chad Pinder","Athletics","1128",".312","98","90.6","114.6","321","43.1%","45.4%","19.5%","35.1%","36.3%","38.2%","25.4%","14.3%","45.1%","40.6%","51.9%","83.5%","15191"
"John Grim","- - -","2797",".312","79","","","","","","","","","","","","","","","","1005067"
"Granny Hamner","- - -","6291",".312","82","","","","","","","","","","","","","","","","1005286"
"Gregory Polanco","Pirates","2838",".312","95","89.2","115.6","659","37.3%","40.7%","20.5%","38.8%","43.9%","33.0%","23.1%","19.1%","49.0%","32.0%","60.4%","86.9%","12907"
"Bob Johnson","- - -","2508",".312","95","","","","","","","","","","","","","","","","1006429"
"Charlie Reilly","- - -","2621",".312","82","","","","","","","","","","","","","","","","1010800"
"Glenn Wilson","- - -","4468",".312","93","","","","","","","","","","","","","","","","1014081"
"Jimmy McAleer","- - -","4414",".312","78","","","","","","","","","","","","","","","","1008322"
"Morrie Rath","- - -","2405",".312","92","","","","","","","","","","","","","","","","1010709"
